trainee_id,trainee_name,week_no,window_label,post_count,reposts_sum,comment_sum,like_sum,engagement_sum
chuang2021_051,何圳煜,3,首次排名阶段,18,10,145,428,728
chuang2021_051,何圳煜,4,位置测评与第二次排名阶段,18,140,388,1349,2265
chuang2021_051,何圳煜,5,主题考核与第三次排名阶段,23,834,2596,54414,60440
chuang2021_051,何圳煜,6,决赛阶段,26,8,175,230,588
chuang2021_052,徐绍岚,1,初评级阶段,24,355,2541,31382,36819
chuang2021_052,徐绍岚,2,小组竞演与主题曲阶段,25,203,654,21483,22994
chuang2021_052,徐绍岚,3,首次排名阶段,24,343,636,2518,4133
chuang2021_052,徐绍岚,4,位置测评与第二次排名阶段,21,4,8,218,238
chuang2021_052,徐绍岚,5,主题考核与第三次排名阶段,24,60,60,542,722
chuang2021_052,徐绍岚,6,决赛阶段,24,168513,325,812,169975
chuang2021_053,何懿峻,1,初评级阶段,23,494,2433,24764,30124
chuang2021_053,何懿峻,2,小组竞演与主题曲阶段,20,166,1673,48517,52029
chuang2021_053,何懿峻,3,首次排名阶段,15,253,598,8216,9665
chuang2021_053,何懿峻,4,位置测评与第二次排名阶段,16,22,78,508,686
chuang2021_053,何懿峻,5,主题考核与第三次排名阶段,22,247,1902,58060,62111
chuang2021_053,何懿峻,6,决赛阶段,21,168672,865,16320,186722
chuang2021_054,张璋,1,初评级阶段,24,245,1936,19468,23585
chuang2021_054,张璋,2,小组竞演与主题曲阶段,25,327,1694,43758,47473
chuang2021_054,张璋,3,首次排名阶段,23,238,386,812,1822
chuang2021_054,张璋,4,位置测评与第二次排名阶段,24,34,175,3497,3881
chuang2021_054,张璋,5,主题考核与第三次排名阶段,26,6,217,557,997
chuang2021_054,张璋,6,决赛阶段,27,186,579,15768,17112
chuang2021_055,范臻尔,1,初评级阶段,26,275,2467,22271,27480
chuang2021_055,范臻尔,2,小组竞演与主题曲阶段,25,1,5,3,14
chuang2021_055,范臻尔,3,首次排名阶段,24,418,1773,66464,70428
chuang2021_055,范臻尔,4,位置测评与第二次排名阶段,22,388,1565,94837,98355
chuang2021_055,范臻尔,5,主题考核与第三次排名阶段,25,437,2059,57733,62288
chuang2021_055,范臻尔,6,决赛阶段,20,79813,2683,27077,112256
chuang2021_056,大卫,1,初评级阶段,21,432,1635,23447,27149
chuang2021_056,大卫,2,小组竞演与主题曲阶段,19,1156,875,14524,17430
chuang2021_056,大卫,3,首次排名阶段,22,16,104,614,838
