trainee_id,trainee_name,episode_no,post_count,reposts_sum,comment_sum,like_sum,engagement_sum
chuang2021_062,怿涵,1,25,250,1948,19901,24047
chuang2021_062,怿涵,3,21,72,63,466,664
chuang2021_062,怿涵,5,23,0,31,151,213
chuang2021_062,怿涵,7,27,172,152,1066,1542
chuang2021_062,怿涵,9,22,2,23,154,202
chuang2021_062,怿涵,10,26,79,121,702,1023
chuang2021_063,喜内优心,1,23,424,2298,29490,34510
chuang2021_063,喜内优心,3,24,870,963,10676,13472
chuang2021_063,喜内优心,5,21,365,619,10054,11657
chuang2021_063,喜内优心,7,26,94,254,711,1313
chuang2021_063,喜内优心,9,27,94,5108,3095,13405
chuang2021_063,喜内优心,10,28,22,70,488,650
chuang2021_064,李嘉祥,1,22,126,334,1057,1851
chuang2021_064,李嘉祥,3,24,2199,3691,65690,75271
chuang2021_064,李嘉祥,5,25,247,1897,47376,51417
chuang2021_064,李嘉祥,7,23,4,138,315,595
chuang2021_064,李嘉祥,9,27,184,511,3249,4455
chuang2021_064,李嘉祥,10,22,20,241,678,1180
chuang2021_065,赖耀翔,1,22,265,2070,20120,24525
chuang2021_065,赖耀翔,3,26,315,377,1749,2818
chuang2021_065,赖耀翔,5,21,1,12,130,155
chuang2021_065,赖耀翔,7,25,109,211,2796,3327
chuang2021_065,赖耀翔,9,24,3,39,147,228
chuang2021_065,赖耀翔,10,19,6,41,228,316
chuang2021_066,曹左,1,26,313,2281,22274,27149
chuang2021_066,曹左,3,23,217,395,3447,4454
chuang2021_066,曹左,5,17,136,330,1632,2428
chuang2021_066,曹左,7,21,14,50,180,294
chuang2021_066,曹左,9,29,26,127,202,482
chuang2021_066,曹左,10,18,17,85,248,435
chuang2021_067,凌箫,1,20,255,2169,20581,25174
chuang2021_067,凌箫,3,26,2,44,114,204
chuang2021_067,凌箫,5,23,70,336,1081,1823
chuang2021_067,凌箫,7,24,1051,4678,41169,51576
chuang2021_067,凌箫,9,22,5,81,258,425
