trainee_id,trainee_name,date,post_count,reposts_sum,comments_sum,likes_sum
chuang2021_038,佐藤永翔,2021-04-03,23,28,174,962
chuang2021_038,佐藤永翔,2021-04-16,13,7,21,156
chuang2021_038,佐藤永翔,2021-04-17,17,7,99,210
chuang2021_038,佐藤永翔,2021-04-23,3,0,12,46
chuang2021_038,佐藤永翔,2021-04-24,24,85,235,1253
chuang2021_039,叶皓然,2021-02-26,6,154,223,2740
chuang2021_039,叶皓然,2021-02-27,14,247,1987,19545
chuang2021_039,叶皓然,2021-03-13,26,7,40,39
chuang2021_039,叶皓然,2021-03-19,7,221,260,597
chuang2021_039,叶皓然,2021-03-20,15,202,367,2566
chuang2021_039,叶皓然,2021-03-31,2,0,4,12
chuang2021_039,叶皓然,2021-04-01,7,14,90,480
chuang2021_039,叶皓然,2021-04-02,2,13,130,17073
chuang2021_039,叶皓然,2021-04-03,10,42,364,9832
chuang2021_039,叶皓然,2021-04-12,4,0,14,24
chuang2021_039,叶皓然,2021-04-13,4,0,1,8
chuang2021_039,叶皓然,2021-04-14,5,2,2,21
chuang2021_039,叶皓然,2021-04-15,6,11,31,105
chuang2021_039,叶皓然,2021-04-16,3,0,3,21
chuang2021_039,叶皓然,2021-04-17,4,146,567,5551
chuang2021_039,叶皓然,2021-04-22,1,2,8,27
chuang2021_039,叶皓然,2021-04-23,8,235,484,8605
chuang2021_039,叶皓然,2021-04-24,11,1261,1494,3929
chuang2021_040,韩佩泉,2021-02-27,22,218,370,3698
chuang2021_040,韩佩泉,2021-03-13,22,1469,589,3995
chuang2021_040,韩佩泉,2021-03-20,22,135,314,2822
chuang2021_040,韩佩泉,2021-04-03,23,34,64,1238
chuang2021_040,韩佩泉,2021-04-15,5,0,1,1
chuang2021_040,韩佩泉,2021-04-16,7,41,62,123
chuang2021_040,韩佩泉,2021-04-17,12,29,62,1544
chuang2021_040,韩佩泉,2021-04-24,25,42,46,412
chuang2021_041,陆定昊,2021-02-27,23,20383,1914,17982
chuang2021_041,陆定昊,2021-03-13,13,1495,668,4995
chuang2021_041,陆定昊,2021-03-20,21,191,356,2406
chuang2021_041,陆定昊,2021-03-31,5,0,4,27
chuang2021_041,陆定昊,2021-04-01,2,13,41,131
chuang2021_041,陆定昊,2021-04-02,3,27,86,195
chuang2021_041,陆定昊,2021-04-03,16,12043,15011,47879
chuang2021_041,陆定昊,2021-04-15,3,31,47,345
chuang2021_041,陆定昊,2021-04-16,3,53,36,102
chuang2021_041,陆定昊,2021-04-17,13,51,95,520
chuang2021_041,陆定昊,2021-04-24,23,1394,1638,4437
chuang2021_042,邵明明,2021-02-27,25,128,256,916
chuang2021_042,邵明明,2021-03-13,28,0,49,69
chuang2021_042,邵明明,2021-03-20,22,170,248,7058
chuang2021_042,邵明明,2021-04-03,21,2,1,142
chuang2021_042,邵明明,2021-04-17,23,94,182,1906
chuang2021_042,邵明明,2021-04-23,22,168698,735,5311
chuang2021_042,邵明明,2021-04-24,3,5,15,66
chuang2021_043,李洛尔,2021-02-26,2,0,2,6
chuang2021_043,李洛尔,2021-02-27,20,800,2111,20680
chuang2021_043,李洛尔,2021-03-13,19,587,872,2083
chuang2021_043,李洛尔,2021-03-20,21,440,513,1051
chuang2021_043,李洛尔,2021-04-03,19,2,9,66
chuang2021_043,李洛尔,2021-04-15,4,2,25,27
chuang2021_043,李洛尔,2021-04-16,8,1,6,42
chuang2021_043,李洛尔,2021-04-17,8,18,36,688
chuang2021_043,李洛尔,2021-04-22,1,0,3,30
chuang2021_043,李洛尔,2021-04-23,3,2,33,48
chuang2021_043,李洛尔,2021-04-24,14,9,70,295
chuang2021_044,于洋,2021-02-27,21,3064,3467,25123
chuang2021_044,于洋,2021-03-10,6,654,813,7854
chuang2021_044,于洋,2021-03-11,3,0,11,18
chuang2021_044,于洋,2021-03-12,3,2,50,67
chuang2021_044,于洋,2021-03-13,11,2339,735,18983
chuang2021_044,于洋,2021-03-20,17,84,901,15312
chuang2021_044,于洋,2021-04-03,22,1271,1115,3608
chuang2021_044,于洋,2021-04-16,17,167,322,1338
chuang2021_044,于洋,2021-04-17,9,74,122,662
chuang2021_044,于洋,2021-04-24,24,2,23,103
chuang2021_045,王孝辰,2021-02-26,2,1,1,5
chuang2021_045,王孝辰,2021-02-27,19,245,1983,19546
chuang2021_045,王孝辰,2021-03-13,19,14,67,256
chuang2021_045,王孝辰,2021-03-19,7,0,6,15
chuang2021_045,王孝辰,2021-03-20,18,48,110,347
chuang2021_045,王孝辰,2021-04-03,19,37,183,1997
chuang2021_045,王孝辰,2021-04-13,3,0,0,3
chuang2021_045,王孝辰,2021-04-14,1,0,0,0
chuang2021_045,王孝辰,2021-04-15,8,25,85,295
chuang2021_045,王孝辰,2021-04-16,7,16,94,1064
chuang2021_045,王孝辰,2021-04-17,6,12,374,3299
chuang2021_045,王孝辰,2021-04-21,3,0,0,0
chuang2021_045,王孝辰,2021-04-22,4,0,34,130
chuang2021_045,王孝辰,2021-04-23,6,16,88,294
chuang2021_045,王孝辰,2021-04-24,11,16,62,255
chuang2021_046,屈柏宇,2021-02-26,5,0,6,6
chuang2021_046,屈柏宇,2021-02-27,19,1037,3875,68901
chuang2021_046,屈柏宇,2021-03-11,3,0,3,7
chuang2021_046,屈柏宇,2021-03-12,11,0,9,25
chuang2021_046,屈柏宇,2021-03-13,13,499,657,4218
chuang2021_046,屈柏宇,2021-03-20,30,3,25,75
chuang2021_046,屈柏宇,2021-03-31,2,0,0,0
chuang2021_046,屈柏宇,2021-04-01,4,0,3,17
chuang2021_046,屈柏宇,2021-04-02,5,0,5,17
chuang2021_046,屈柏宇,2021-04-03,12,1049,1848,7751
chuang2021_046,屈柏宇,2021-04-14,2,0,0,0
chuang2021_046,屈柏宇,2021-04-15,12,61,473,5820
chuang2021_046,屈柏宇,2021-04-16,1,0,0,7
chuang2021_046,屈柏宇,2021-04-17,4,0,1,10
chuang2021_046,屈柏宇,2021-04-20,6,0,0,0
chuang2021_046,屈柏宇,2021-04-21,4,31,21,653
chuang2021_046,屈柏宇,2021-04-22,2,2,1,40
chuang2021_046,屈柏宇,2021-04-23,1,2,13,49
chuang2021_046,屈柏宇,2021-04-24,6,13,21,88
chuang2021_047,蒋敦豪,2021-02-27,25,251,2049,20022
chuang2021_047,蒋敦豪,2021-03-13,18,12,40,91
chuang2021_047,蒋敦豪,2021-03-20,26,964,1136,2573
chuang2021_047,蒋敦豪,2021-04-03,27,107,377,1192
chuang2021_047,蒋敦豪,2021-04-15,7,1,8,21
chuang2021_047,蒋敦豪,2021-04-16,9,26,116,273
chuang2021_047,蒋敦豪,2021-04-17,8,1,7,33
chuang2021_047,蒋敦豪,2021-04-22,1,0,0,0
chuang2021_047,蒋敦豪,2021-04-23,15,57,250,2612
chuang2021_047,蒋敦豪,2021-04-24,9,8,32,111
chuang2021_048,代少冬,2021-02-27,26,3278,4591,18672
chuang2021_048,代少冬,2021-03-11,17,546,605,1317
chuang2021_048,代少冬,2021-03-12,2,0,0,0
chuang2021_048,代少冬,2021-03-13,4,10,92,318
chuang2021_048,代少冬,2021-03-20,26,16,106,385
chuang2021_048,代少冬,2021-04-03,27,26,182,1309
chuang2021_048,代少冬,2021-04-15,5,1,12,40
chuang2021_048,代少冬,2021-04-16,16,15,123,444
chuang2021_048,代少冬,2021-04-17,2,0,1,24
chuang2021_048,代少冬,2021-04-22,7,1,31,93
chuang2021_048,代少冬,2021-04-23,7,168490,308,652
chuang2021_048,代少冬,2021-04-24,7,175,808,6231
chuang2021_049,黄鲲,2021-02-25,8,132,1007,10860
chuang2021_049,黄鲲,2021-02-26,2,1,0,3
chuang2021_049,黄鲲,2021-02-27,15,299,2353,24775
chuang2021_049,黄鲲,2021-03-12,2,0,0,14
chuang2021_049,黄鲲,2021-03-13,23,573,852,6158
chuang2021_049,黄鲲,2021-03-19,10,5,14,68
chuang2021_049,黄鲲,2021-03-20,17,1,11,32
chuang2021_049,黄鲲,2021-04-01,5,64,147,634
chuang2021_049,黄鲲,2021-04-02,4,0,22,37
chuang2021_049,黄鲲,2021-04-03,12,1747,2273,15236
chuang2021_049,黄鲲,2021-04-15,12,1,5,21
chuang2021_049,黄鲲,2021-04-16,2,0,0,0
chuang2021_049,黄鲲,2021-04-17,6,1,5,15
chuang2021_049,黄鲲,2021-04-20,3,2,14,48
chuang2021_049,黄鲲,2021-04-21,6,78622,854,6894
chuang2021_049,黄鲲,2021-04-22,3,101,475,16296
chuang2021_049,黄鲲,2021-04-23,7,60,266,2643
chuang2021_049,黄鲲,2021-04-24,5,5,15,64
chuang2021_050,一之濑飞鸟,2021-02-27,24,321,2446,22536
chuang2021_050,一之濑飞鸟,2021-03-11,10,431,561,7127
chuang2021_050,一之濑飞鸟,2021-03-12,10,273,290,1170
chuang2021_050,一之濑飞鸟,2021-03-13,7,2,5,17
chuang2021_050,一之濑飞鸟,2021-03-17,2,0,2,17
chuang2021_050,一之濑飞鸟,2021-03-18,8,1,15,35
chuang2021_050,一之濑飞鸟,2021-03-19,4,9,125,349
chuang2021_050,一之濑飞鸟,2021-03-20,6,0,2,11
chuang2021_050,一之濑飞鸟,2021-03-29,5,385,1568,94834
chuang2021_050,一之濑飞鸟,2021-03-30,4,1,2,44
chuang2021_050,一之濑飞鸟,2021-03-31,1,0,3,6
chuang2021_050,一之濑飞鸟,2021-04-01,2,1,7,16
chuang2021_050,一之濑飞鸟,2021-04-02,2,0,3,16
chuang2021_050,一之濑飞鸟,2021-04-03,4,0,0,0
chuang2021_050,一之濑飞鸟,2021-04-09,1,16,27,228
chuang2021_050,一之濑飞鸟,2021-04-11,2,0,2,14
chuang2021_050,一之濑飞鸟,2021-04-12,5,15,265,1832
chuang2021_050,一之濑飞鸟,2021-04-13,3,12,71,241
chuang2021_050,一之濑飞鸟,2021-04-14,4,87,546,12661
chuang2021_050,一之濑飞鸟,2021-04-15,3,0,7,4
chuang2021_050,一之濑飞鸟,2021-04-17,4,116,1136,5804
chuang2021_050,一之濑飞鸟,2021-04-22,9,0,0,5
chuang2021_050,一之濑飞鸟,2021-04-23,14,168489,328,681
chuang2021_050,一之濑飞鸟,2021-04-24,2,165,398,4642
chuang2021_051,何圳煜,2021-02-20,1,0,2,6
chuang2021_051,何圳煜,2021-02-21,1,0,0,3
chuang2021_051,何圳煜,2021-02-22,2,0,4,15
chuang2021_051,何圳煜,2021-02-23,1,0,2,10
chuang2021_051,何圳煜,2021-02-24,3,3,56,171
chuang2021_051,何圳煜,2021-02-25,3,6,119,1310
chuang2021_051,何圳煜,2021-02-26,2,0,10,17
chuang2021_051,何圳煜,2021-02-27,9,243,1990,19552
chuang2021_051,何圳煜,2021-03-13,28,3,45,169
chuang2021_051,何圳煜,2021-03-17,3,1,28,98
chuang2021_051,何圳煜,2021-03-18,7,0,8,11
chuang2021_051,何圳煜,2021-03-19,5,9,109,307
