trainee_id,trainee_name,date,post_count,reposts_sum,comments_sum,likes_sum
idol_producer_053,徐鹤尼,2018-03-13,1,0,0,0
idol_producer_053,徐鹤尼,2018-03-14,1,0,0,1
idol_producer_053,徐鹤尼,2018-03-15,1,2,54,118
idol_producer_053,徐鹤尼,2018-03-16,1,1,0,11
idol_producer_053,徐鹤尼,2018-03-17,2,0,0,0
idol_producer_053,徐鹤尼,2018-03-18,1,0,0,0
idol_producer_053,徐鹤尼,2018-03-19,5,219,218,125
idol_producer_053,徐鹤尼,2018-03-20,3,53,103,218
idol_producer_053,徐鹤尼,2018-03-21,2,0,5,12
idol_producer_053,徐鹤尼,2018-03-22,1,0,0,1
idol_producer_053,徐鹤尼,2018-04-06,30,0,0,0
idol_producer_054,明鹏,2018-02-16,1,2,32,106
idol_producer_054,明鹏,2018-02-26,1,1,17,16
idol_producer_054,明鹏,2018-02-28,1,254,1078,3660
idol_producer_054,明鹏,2018-03-01,2,54,458,566
idol_producer_054,明鹏,2018-03-02,5,0,4,34
idol_producer_054,明鹏,2018-03-10,2,0,0,0
idol_producer_054,明鹏,2018-03-11,1,0,0,1
idol_producer_054,明鹏,2018-03-12,2,0,19,11
idol_producer_054,明鹏,2018-03-13,1,0,9,25
idol_producer_054,明鹏,2018-03-14,1,0,3,5
idol_producer_054,明鹏,2018-03-15,1,7,17,113
idol_producer_054,明鹏,2018-03-16,2,0,6,10
idol_producer_054,明鹏,2018-03-17,2,0,10,5
idol_producer_054,明鹏,2018-03-21,1,0,0,4
idol_producer_054,明鹏,2018-03-22,1,0,0,0
idol_producer_054,明鹏,2018-03-23,1,0,0,0
