trainee_id,trainee_name,final_rank,是否成团,weibo_post_count,reposts_sum,comments_sum,likes_sum,query_attempts,query_success,window_success_count,window_count
idol_producer_049,张晏恺,,0,37,1077,2856,4691,html:初评级阶段:张晏恺 偶像练习生:200:12 | html:主题曲考核阶段:张晏恺 偶像练习生:200:15 | html:位置测评阶段:张晏恺 偶像练习生:200:12 | html:排名发布阶段:张晏恺 偶像练习生:200:13 | html:合作舞台阶段:张晏恺 偶像练习生:200:15 | html:总决赛阶段:张晏恺 偶像练习生:200:15,1,6,6
idol_producer_050,张津铭,,0,4,1,53,74,html:初评级阶段:张津铭 偶像练习生:200:15 | html:主题曲考核阶段:张津铭 偶像练习生:200:15 | html:位置测评阶段:张津铭 偶像练习生:200:12 | html:排名发布阶段:张津铭 偶像练习生:200:11 | html:合作舞台阶段:张津铭 偶像练习生:200:11 | html:总决赛阶段:张津铭 偶像练习生:200:15,1,6,6
idol_producer_051,张艺凡,,0,15,265,1606,1171,html:初评级阶段:张艺凡 偶像练习生:200:15 | html:主题曲考核阶段:张艺凡 偶像练习生:200:11 | html:位置测评阶段:张艺凡 偶像练习生:200:8 | html:排名发布阶段:张艺凡 偶像练习生:200:12 | html:合作舞台阶段:张艺凡 偶像练习生:200:4 | html:总决赛阶段:张艺凡 偶像练习生:200:15,1,6,6
idol_producer_052,张达源,,0,67,181,831,2024,html:初评级阶段:张达源 偶像练习生:200:7 | html:主题曲考核阶段:张达源 偶像练习生:200:15 | html:位置测评阶段:张达源 偶像练习生:200:5 | html:排名发布阶段:张达源 偶像练习生:200:17 | html:合作舞台阶段:张达源 偶像练习生:200:23 | html:总决赛阶段:张达源 偶像练习生:200:20,1,6,6
idol_producer_053,徐鹤尼,,0,101,532,2104,1791,html:初评级阶段:徐鹤尼 偶像练习生:200:22 | html:主题曲考核阶段:徐鹤尼 偶像练习生:200:22 | html:位置测评阶段:徐鹤尼 偶像练习生:200:7 | html:排名发布阶段:徐鹤尼 偶像练习生:200:12 | html:合作舞台阶段:徐鹤尼 偶像练习生:200:18 | html:总决赛阶段:徐鹤尼 偶像练习生:200:30,1,6,6
idol_producer_054,明鹏,,0,40,324,1703,4697,html:初评级阶段:明鹏 偶像练习生:200:15 | html:主题曲考核阶段:明鹏 偶像练习生:200:15 | html:位置测评阶段:明鹏 偶像练习生:200:11 | html:排名发布阶段:明鹏 偶像练习生:200:9 | html:合作舞台阶段:明鹏 偶像练习生:200:15 | html:总决赛阶段:明鹏 偶像练习生:200:15,1,6,6
idol_producer_055,木子洋,,0,52,671,253,1420,html:初评级阶段:木子洋 偶像练习生:200:15 | html:主题曲考核阶段:木子洋 偶像练习生:200:11 | html:位置测评阶段:木子洋 偶像练习生:200:15 | html:排名发布阶段:木子洋 偶像练习生:200:21 | html:合作舞台阶段:木子洋 偶像练习生:200:8 | html:总决赛阶段:木子洋 偶像练习生:200:22,1,6,6
idol_producer_056,朱一文,,0,14,526,2763,5974,html:初评级阶段:朱一文 偶像练习生:200:15 | html:主题曲考核阶段:朱一文 偶像练习生:200:15 | html:位置测评阶段:朱一文 偶像练习生:200:11 | html:排名发布阶段:朱一文 偶像练习生:200:9 | html:合作舞台阶段:朱一文 偶像练习生:200:12 | html:总决赛阶段:朱一文 偶像练习生:200:17,1,6,6
idol_producer_057,朱匀一,,0,62,2558,2040,6682,html:初评级阶段:朱匀一 偶像练习生:200:15 | html:主题曲考核阶段:朱匀一 偶像练习生:200:11 | html:位置测评阶段:朱匀一 偶像练习生:200:11 | html:排名发布阶段:朱匀一 偶像练习生:200:21 | html:合作舞台阶段:朱匀一 偶像练习生:200:23 | html:总决赛阶段:朱匀一 偶像练习生:200:16,1,6,6
idol_producer_058,朱匀天,,0,58,1854,1857,4542,html:初评级阶段:朱匀天 偶像练习生:200:4 | html:主题曲考核阶段:朱匀天 偶像练习生:200:7 | html:位置测评阶段:朱匀天 偶像练习生:200:11 | html:排名发布阶段:朱匀天 偶像练习生:200:19 | html:合作舞台阶段:朱匀天 偶像练习生:200:17 | html:总决赛阶段:朱匀天 偶像练习生:200:15,1,6,6
